"region","drivmedel","månad","Antal"
"Riket","bensin","2019M08",14791
"Riket","bensin","2019M09",12995
"Riket","bensin","2019M10",13755
"Riket","bensin","2019M11",13673
"Riket","bensin","2019M12",23129
"Riket","bensin","2020M01",6732
"Riket","bensin","2020M02",8927
"Riket","bensin","2020M03",11431
"Riket","bensin","2020M04",8730
"Riket","bensin","2020M05",7628
"Riket","bensin","2020M06",11255
"Riket","bensin","2020M07",9769
"Riket","bensin","2020M08",10416
"Riket","bensin","2020M09",10792
"Riket","bensin","2020M10",10467
"Riket","bensin","2020M11",9457
"Riket","bensin","2020M12",9036
"Riket","bensin","2021M01",7718
"Riket","bensin","2021M02",8799
"Riket","bensin","2021M03",16807
"Riket","bensin","2021M04",7758
"Riket","bensin","2021M05",8971
"Riket","bensin","2021M06",10343
"Riket","bensin","2021M07",6589
"Riket","bensin","2021M08",6340
"Riket","bensin","2021M09",6415
"Riket","bensin","2021M10",6077
"Riket","bensin","2021M11",5789
"Riket","bensin","2021M12",5865
"Riket","bensin","2022M01",5104
"Riket","bensin","2022M02",5368
"Riket","bensin","2022M03",6737
"Riket","bensin","2022M04",5968
"Riket","bensin","2022M05",7786
"Riket","bensin","2022M06",6490
"Riket","bensin","2022M07",5672
"Riket","bensin","2022M08",5975
"Riket","bensin","2022M09",5016
"Riket","bensin","2022M10",4523
"Riket","bensin","2022M11",4238
"Riket","bensin","2022M12",4370
"Riket","bensin","2023M01",3602
"Riket","bensin","2023M02",4256
"Riket","bensin","2023M03",6452
"Riket","bensin","2023M04",5148
"Riket","bensin","2023M05",6324
"Riket","bensin","2023M06",6895
"Riket","bensin","2023M07",4246
"Riket","bensin","2023M08",5480
"Riket","bensin","2023M09",5820
"Riket","bensin","2023M10",5488
"Riket","bensin","2023M11",5024
"Riket","bensin","2023M12",6042
"Riket","bensin","2024M01",4078
"Riket","bensin","2024M02",4868
"Riket","bensin","2024M03",5862
"Riket","bensin","2024M04",5483
"Riket","bensin","2024M05",6984
"Riket","bensin","2024M06",6930
"Riket","bensin","2024M07",3970
"Riket","bensin","2024M08",4822
"Riket","bensin","2024M09",5825
"Riket","bensin","2024M10",5735
"Riket","bensin","2024M11",5896
"Riket","bensin","2024M12",5996
"Riket","bensin","2025M01",5185
"Riket","bensin","2025M02",4994
"Riket","bensin","2025M03",6018
"Riket","diesel","2006M01",3521
"Riket","diesel","2006M02",3444
"Riket","diesel","2006M03",4764
"Riket","diesel","2006M04",4598
"Riket","diesel","2006M05",5168
"Riket","diesel","2006M06",5340
"Riket","diesel","2006M07",4089
"Riket","diesel","2006M08",4619
"Riket","diesel","2006M09",5438
"Riket","diesel","2006M10",6176
"Riket","diesel","2006M11",7046
"Riket","diesel","2006M12",7000
"Riket","diesel","2007M01",6965
"Riket","diesel","2007M02",6615
"Riket","diesel","2007M03",8418
"Riket","diesel","2007M04",8269
"Riket","diesel","2007M05",9492
"Riket","diesel","2007M06",8877
"Riket","diesel","2007M07",6979
"Riket","diesel","2007M08",8630
"Riket","diesel","2007M09",8803
"Riket","diesel","2007M10",11332
"Riket","diesel","2007M11",12240
"Riket","diesel","2007M12",16944
"Riket","diesel","2008M01",5292
"Riket","diesel","2008M02",8221
"Riket","diesel","2008M03",9180
"Riket","diesel","2008M04",11334
"Riket","diesel","2008M05",10458
"Riket","diesel","2008M06",9024
"Riket","diesel","2008M07",6673
"Riket","diesel","2008M08",6923
"Riket","diesel","2008M09",8407
"Riket","diesel","2008M10",8275
"Riket","diesel","2008M11",6504
"Riket","diesel","2008M12",6874
"Riket","diesel","2009M01",4852
"Riket","diesel","2009M02",5911
"Riket","diesel","2009M03",7125
"Riket","diesel","2009M04",7527
"Riket","diesel","2009M05",6748
"Riket","diesel","2009M06",9030
"Riket","diesel","2009M07",6340
"Riket","diesel","2009M08",6583
